Trial,Metric,K,N,sigma,TruePositive,FalsePositive,FalseNegative,TrueNegative,Accuracy,MisclassificationRate,TruePositiveRate,FalsePositiveRate,Specificity,Precision
int,str,int,int,float,int,int,int,int,float,float,float,float,float,float
4,inf,5000,100,0.401,20,26,25,29,0.49,0.51,0.4444444444444444,0.4727272727272727,0.5272727272727272,0.43478260869565216
5,inf,5000,100,0.401,26,26,27,21,0.47,0.53,0.49056603773584906,0.5531914893617021,0.44680851063829785,0.5
6,inf,5000,100,0.401,20,24,31,25,0.45,0.55,0.39215686274509803,0.4897959183673469,0.5102040816326531,0.45454545454545453
7,inf,5000,100,0.401,29,25,29,17,0.46,0.54,0.5,0.5952380952380952,0.40476190476190477,0.5370370370370371
8,inf,5000,100,0.401,21,26,29,24,0.45,0.55,0.42,0.52,0.48,0.44680851063829785
9,inf,5000,100,0.401,24,30,23,23,0.47,0.53,0.5106382978723404,0.5660377358490566,0.4339622641509434,0.4444444444444444
10,inf,5000,100,0.401,25,27,27,21,0.46,0.54,0.4807692307692308,0.5625,0.4375,0.4807692307692308
11,inf,5000,100,0.401,21,26,24,29,0.5,0.5,0.4666666666666667,0.4727272727272727,0.5272727272727272,0.44680851063829785
12,inf,5000,100,0.401,27,27,26,20,0.47,0.53,0.5094339622641509,0.574468085106383,0.425531914893617,0.5
13,inf,5000,100,0.401,24,30,28,18,0.42,0.58,0.46153846153846156,0.625,0.375,0.4444444444444444
14,inf,5000,100,0.401,26,23,22,29,0.55,0.45,0.5416666666666666,0.4423076923076923,0.5576923076923077,0.5306122448979592
0,inf,5000,100,0.501,20,26,24,30,0.5,0.5,0.45454545454545453,0.4642857142857143,0.5357142857142857,0.43478260869565216
1,inf,5000,100,0.501,20,26,21,33,0.53,0.47,0.4878048780487805,0.4406779661016949,0.559322033898305,0.43478260869565216
2,inf,5000,100,0.501,24,20,29,27,0.51,0.49,0.4528301886792453,0.425531914893617,0.574468085106383,0.5454545454545454
3,inf,5000,100,0.501,27,30,22,21,0.48,0.52,0.5510204081632653,0.5882352941176471,0.4117647058823529,0.47368421052631576
4,inf,5000,100,0.501,30,28,20,22,0.52,0.48,0.6,0.56,0.44,0.5172413793103449
5,inf,5000,100,0.501,28,30,19,23,0.51,0.49,0.5957446808510638,0.5660377358490566,0.4339622641509434,0.4827586206896552
6,inf,5000,100,0.501,31,22,22,25,0.56,0.44,0.5849056603773585,0.46808510638297873,0.5319148936170213,0.5849056603773585
7,inf,5000,100,0.501,27,20,22,31,0.58,0.42,0.5510204081632653,0.39215686274509803,0.6078431372549019,0.574468085106383
8,inf,5000,100,0.501,29,21,21,29,0.58,0.42,0.58,0.42,0.58,0.58
9,inf,5000,100,0.501,28,27,21,24,0.52,0.48,0.5714285714285714,0.5294117647058824,0.47058823529411764,0.509090909090909
10,inf,5000,100,0.501,30,29,22,19,0.49,0.51,0.5769230769230769,0.6041666666666666,0.3958333333333333,0.5084745762711864
11,inf,5000,100,0.501,25,14,27,34,0.59,0.41,0.4807692307692308,0.2916666666666667,0.7083333333333334,0.6410256410256411
12,inf,5000,100,0.501,30,26,17,27,0.57,0.43,0.6382978723404256,0.49056603773584906,0.5094339622641509,0.5357142857142857
13,inf,5000,100,0.501,24,17,34,25,0.49,0.51,0.41379310344827586,0.40476190476190477,0.5952380952380952,0.5853658536585366
14,inf,5000,100,0.501,28,27,20,25,0.53,0.47,0.5833333333333334,0.5192307692307693,0.4807692307692308,0.509090909090909
0,inf,5000,100,0.601,17,27,22,34,0.51,0.49,0.4358974358974359,0.4426229508196721,0.5573770491803278,0.38636363636363635
1,inf,5000,100,0.601,27,22,19,32,0.59,0.41,0.5869565217391305,0.4074074074074074,0.5925925925925926,0.5510204081632653
2,inf,5000,100,0.601,18,25,30,27,0.45,0.55,0.375,0.4807692307692308,0.5192307692307693,0.4186046511627907
3,inf,5000,100,0.601,26,16,33,25,0.51,0.49,0.4406779661016949,0.3902439024390244,0.6097560975609756,0.6190476190476191
4,inf,5000,100,0.601,21,33,21,25,0.46,0.54,0.5,0.5689655172413793,0.43103448275862066,0.3888888888888889
5,inf,5000,100,0.601,21,24,26,29,0.5,0.5,0.44680851063829785,0.4528301886792453,0.5471698113207547,0.4666666666666667
6,inf,5000,100,0.601,33,21,21,25,0.58,0.42,0.6111111111111112,0.45652173913043476,0.5434782608695652,0.6111111111111112
7,inf,5000,100,0.601,27,26,21,26,0.53,0.47,0.5625,0.5,0.5,0.5094339622641509
8,inf,5000,100,0.601,32,13,28,27,0.59,0.41,0.5333333333333333,0.325,0.675,0.7111111111111111
9,inf,5000,100,0.601,29,28,21,22,0.51,0.49,0.58,0.56,0.44,0.5087719298245614
10,inf,5000,100,0.601,25,21,24,30,0.55,0.45,0.5102040816326531,0.4117647058823529,0.5882352941176471,0.5434782608695652
11,inf,5000,100,0.601,25,27,24,24,0.49,0.51,0.5102040816326531,0.5294117647058824,0.47058823529411764,0.4807692307692308
12,inf,5000,100,0.601,26,21,23,30,0.56,0.44,0.5306122448979592,0.4117647058823529,0.5882352941176471,0.5531914893617021
13,inf,5000,100,0.601,18,29,32,21,0.39,0.61,0.36,0.58,0.42,0.3829787234042553
14,inf,5000,100,0.601,23,23,25,29,0.52,0.48,0.4791666666666667,0.4423076923076923,0.5576923076923077,0.5
0,inf,5000,100,0.701,25,19,27,29,0.54,0.46,0.4807692307692308,0.3958333333333333,0.6041666666666666,0.5681818181818182
1,inf,5000,100,0.701,26,26,25,23,0.49,0.51,0.5098039215686274,0.5306122448979592,0.46938775510204084,0.5
2,inf,5000,100,0.701,28,22,21,29,0.57,0.43,0.5714285714285714,0.43137254901960786,0.5686274509803921,0.56
3,inf,5000,100,0.701,31,13,30,26,0.57,0.43,0.5081967213114754,0.3333333333333333,0.6666666666666666,0.7045454545454546
4,inf,5000,100,0.701,27,32,20,21,0.48,0.52,0.574468085106383,0.6037735849056604,0.39622641509433965,0.4576271186440678
5,inf,5000,100,0.701,23,26,31,20,0.43,0.57,0.42592592592592593,0.5652173913043478,0.43478260869565216,0.46938775510204084
6,inf,5000,100,0.701,30,23,27,20,0.5,0.5,0.5263157894736842,0.5348837209302325,0.46511627906976744,0.5660377358490566
7,inf,5000,100,0.701,38,18,21,23,0.61,0.39,0.6440677966101694,0.43902439024390244,0.5609756097560976,0.6785714285714286
8,inf,5000,100,0.701,26,23,20,31,0.57,0.43,0.5652173913043478,0.42592592592592593,0.5740740740740741,0.5306122448979592
9,inf,5000,100,0.701,28,22,29,21,0.49,0.51,0.49122807017543857,0.5116279069767442,0.4883720930232558,0.56
10,inf,5000,100,0.701,24,21,27,28,0.52,0.48,0.47058823529411764,0.42857142857142855,0.5714285714285714,0.5333333333333333
11,inf,5000,100,0.701,23,33,22,22,0.45,0.55,0.5111111111111111,0.6,0.4,0.4107142857142857
12,inf,5000,100,0.701,36,20,18,26,0.62,0.38,0.6666666666666666,0.43478260869565216,0.5652173913043478,0.6428571428571429
13,inf,5000,100,0.701,25,26,20,29,0.54,0.46,0.5555555555555556,0.4727272727272727,0.5272727272727272,0.49019607843137253
14,inf,5000,100,0.701,27,17,25,31,0.58,0.42,0.5192307692307693,0.3541666666666667,0.6458333333333334,0.6136363636363636
