Trial,Metric,K,N,sigma,TruePositive,FalsePositive,FalseNegative,TrueNegative,Accuracy,MisclassificationRate,TruePositiveRate,FalsePositiveRate,Specificity,Precision
int,str,int,int,float,int,int,int,int,float,float,float,float,float,float
3,1,5000,100,0.301,380,349,106,165,0.545,0.455,0.7818930041152263,0.6789883268482491,0.321011673151751,0.5212620027434842
4,1,5000,100,0.301,284,274,194,248,0.532,0.468,0.5941422594142259,0.524904214559387,0.47509578544061304,0.5089605734767025
5,1,5000,100,0.301,289,283,190,238,0.527,0.473,0.6033402922755741,0.5431861804222649,0.45681381957773515,0.5052447552447552
6,1,5000,100,0.301,268,202,238,292,0.56,0.44,0.5296442687747036,0.4089068825910931,0.5910931174089069,0.5702127659574469
7,1,5000,100,0.301,261,221,240,278,0.539,0.461,0.5209580838323353,0.44288577154308617,0.5571142284569138,0.5414937759336099
8,1,5000,100,0.301,383,345,105,167,0.55,0.45,0.7848360655737705,0.673828125,0.326171875,0.5260989010989011
9,1,5000,100,0.301,253,142,283,322,0.575,0.425,0.47201492537313433,0.30603448275862066,0.6939655172413793,0.640506329113924
10,1,5000,100,0.301,264,216,239,281,0.545,0.455,0.5248508946322068,0.4346076458752515,0.5653923541247485,0.55
11,1,5000,100,0.301,407,332,92,169,0.576,0.424,0.8156312625250501,0.6626746506986028,0.3373253493013972,0.550744248985115
12,1,5000,100,0.301,257,198,255,290,0.547,0.453,0.501953125,0.4057377049180328,0.5942622950819673,0.5648351648351648
13,1,5000,100,0.301,307,237,196,260,0.567,0.433,0.610337972166998,0.4768611670020121,0.5231388329979879,0.5643382352941176
14,1,5000,100,0.301,288,227,230,255,0.543,0.457,0.555984555984556,0.470954356846473,0.529045643153527,0.5592233009708738
0,1,5000,100,0.401,256,197,250,297,0.553,0.447,0.5059288537549407,0.39878542510121456,0.6012145748987854,0.565121412803532
1,1,5000,100,0.401,343,297,156,204,0.547,0.453,0.687374749498998,0.592814371257485,0.40718562874251496,0.5359375
2,1,5000,100,0.401,184,102,326,388,0.572,0.428,0.3607843137254902,0.20816326530612245,0.7918367346938775,0.6433566433566433
3,1,5000,100,0.401,433,295,113,159,0.592,0.408,0.793040293040293,0.6497797356828194,0.3502202643171806,0.5947802197802198
4,1,5000,100,0.401,391,314,131,164,0.555,0.445,0.7490421455938697,0.6569037656903766,0.34309623430962344,0.5546099290780142
5,1,5000,100,0.401,196,148,319,337,0.533,0.467,0.38058252427184464,0.30515463917525776,0.6948453608247422,0.5697674418604651
6,1,5000,100,0.401,299,217,230,254,0.553,0.447,0.5652173913043478,0.4607218683651805,0.5392781316348195,0.5794573643410853
7,1,5000,100,0.401,269,187,270,274,0.543,0.457,0.49907235621521334,0.40563991323210413,0.5943600867678959,0.5899122807017544
8,1,5000,100,0.401,299,250,219,232,0.531,0.469,0.5772200772200772,0.5186721991701245,0.48132780082987553,0.5446265938069217
9,1,5000,100,0.401,232,183,276,309,0.541,0.459,0.4566929133858268,0.3719512195121951,0.6280487804878049,0.5590361445783133
10,1,5000,100,0.401,123,95,375,407,0.53,0.47,0.2469879518072289,0.1892430278884462,0.8107569721115537,0.5642201834862385
11,1,5000,100,0.401,274,209,227,290,0.564,0.436,0.5469061876247505,0.4188376753507014,0.5811623246492986,0.567287784679089
12,1,5000,100,0.401,365,332,128,175,0.54,0.46,0.7403651115618661,0.6548323471400395,0.34516765285996054,0.5236728837876614
13,1,5000,100,0.401,392,368,99,141,0.533,0.467,0.7983706720977597,0.7229862475442044,0.2770137524557957,0.5157894736842106
14,1,5000,100,0.401,304,275,191,230,0.534,0.466,0.6141414141414141,0.5445544554455446,0.45544554455445546,0.5250431778929189
0,1,5000,100,0.501,179,106,322,393,0.572,0.428,0.35728542914171657,0.2124248496993988,0.7875751503006012,0.6280701754385964
1,1,5000,100,0.501,140,125,317,418,0.558,0.442,0.3063457330415755,0.2302025782688766,0.7697974217311234,0.5283018867924528
2,1,5000,100,0.501,347,293,157,203,0.55,0.45,0.6884920634920635,0.5907258064516129,0.4092741935483871,0.5421875
3,1,5000,100,0.501,185,132,298,385,0.57,0.43,0.3830227743271222,0.2553191489361702,0.7446808510638298,0.583596214511041
4,1,5000,100,0.501,133,98,345,424,0.557,0.443,0.27824267782426776,0.18773946360153257,0.8122605363984674,0.5757575757575758
5,1,5000,100,0.501,195,119,286,400,0.595,0.405,0.40540540540540543,0.22928709055876687,0.7707129094412332,0.6210191082802548
6,1,5000,100,0.501,142,98,334,426,0.568,0.432,0.29831932773109243,0.18702290076335878,0.8129770992366412,0.5916666666666667
