Trial,Metric,K,N,sigma,TruePositive,FalsePositive,FalseNegative,TrueNegative,Accuracy,MisclassificationRate,TruePositiveRate,FalsePositiveRate,Specificity,Precision
int,str,int,int,float,int,int,int,int,float,float,float,float,float,float
7,inf,150,4,0.2,36,16,25,23,0.59,0.41,0.5901639344262295,0.41025641025641024,0.5897435897435898,0.6923076923076923
8,inf,150,4,0.2,44,22,12,22,0.66,0.34,0.7857142857142857,0.5,0.5,0.6666666666666666
9,inf,150,4,0.2,36,20,13,31,0.67,0.33,0.7346938775510204,0.39215686274509803,0.6078431372549019,0.6428571428571429
0,inf,150,4,0.25,29,15,25,31,0.6,0.4,0.5370370370370371,0.32608695652173914,0.6739130434782609,0.6590909090909091
1,inf,150,4,0.25,28,21,19,32,0.6,0.4,0.5957446808510638,0.39622641509433965,0.6037735849056604,0.5714285714285714
2,inf,150,4,0.25,36,17,23,24,0.6,0.4,0.6101694915254238,0.4146341463414634,0.5853658536585366,0.6792452830188679
3,inf,150,4,0.25,31,15,19,35,0.66,0.34,0.62,0.3,0.7,0.6739130434782609
4,inf,150,4,0.25,28,15,16,41,0.69,0.31,0.6363636363636364,0.26785714285714285,0.7321428571428571,0.6511627906976745
5,inf,150,4,0.25,33,21,8,38,0.71,0.29,0.8048780487804879,0.3559322033898305,0.6440677966101694,0.6111111111111112
6,inf,150,4,0.25,43,22,17,18,0.61,0.39,0.7166666666666667,0.55,0.45,0.6615384615384615
7,inf,150,4,0.25,26,19,17,38,0.64,0.36,0.6046511627906976,0.3333333333333333,0.6666666666666666,0.5777777777777777
8,inf,150,4,0.25,18,16,20,46,0.64,0.36,0.47368421052631576,0.25806451612903225,0.7419354838709677,0.5294117647058824
9,inf,150,4,0.25,35,11,15,39,0.74,0.26,0.7,0.22,0.78,0.7608695652173914
0,inf,160,4,0.05,23,13,23,41,0.64,0.36,0.5,0.24074074074074073,0.7592592592592593,0.6388888888888888
1,inf,160,4,0.05,42,22,11,25,0.67,0.33,0.7924528301886793,0.46808510638297873,0.5319148936170213,0.65625
2,inf,160,4,0.05,34,21,15,30,0.64,0.36,0.6938775510204082,0.4117647058823529,0.5882352941176471,0.6181818181818182
3,inf,160,4,0.05,26,16,22,36,0.62,0.38,0.5416666666666666,0.3076923076923077,0.6923076923076923,0.6190476190476191
4,inf,160,4,0.05,38,14,11,37,0.75,0.25,0.7755102040816326,0.27450980392156865,0.7254901960784313,0.7307692307692307
5,inf,160,4,0.05,31,20,18,31,0.62,0.38,0.6326530612244898,0.39215686274509803,0.6078431372549019,0.6078431372549019
6,inf,160,4,0.05,44,15,14,27,0.71,0.29,0.7586206896551724,0.35714285714285715,0.6428571428571429,0.7457627118644068
7,inf,160,4,0.05,42,20,11,27,0.69,0.31,0.7924528301886793,0.425531914893617,0.574468085106383,0.6774193548387096
8,inf,160,4,0.05,20,18,26,36,0.56,0.44,0.43478260869565216,0.3333333333333333,0.6666666666666666,0.5263157894736842
9,inf,160,4,0.05,31,18,16,35,0.66,0.34,0.6595744680851063,0.33962264150943394,0.660377358490566,0.6326530612244898
0,inf,160,4,0.1,28,11,21,40,0.68,0.32,0.5714285714285714,0.21568627450980393,0.7843137254901961,0.717948717948718
1,inf,160,4,0.1,21,19,20,40,0.61,0.39,0.5121951219512195,0.3220338983050847,0.6779661016949152,0.525
2,inf,160,4,0.1,29,19,23,29,0.58,0.42,0.5576923076923077,0.3958333333333333,0.6041666666666666,0.6041666666666666
3,inf,160,4,0.1,25,25,26,24,0.49,0.51,0.49019607843137253,0.5102040816326531,0.4897959183673469,0.5
4,inf,160,4,0.1,40,12,13,35,0.75,0.25,0.7547169811320755,0.2553191489361702,0.7446808510638298,0.7692307692307693
5,inf,160,4,0.1,25,16,22,37,0.62,0.38,0.5319148936170213,0.3018867924528302,0.6981132075471698,0.6097560975609756
6,inf,160,4,0.1,29,28,15,28,0.57,0.43,0.6590909090909091,0.5,0.5,0.5087719298245614
7,inf,160,4,0.1,36,18,22,24,0.6,0.4,0.6206896551724138,0.42857142857142855,0.5714285714285714,0.6666666666666666
8,inf,160,4,0.1,24,24,20,32,0.56,0.44,0.5454545454545454,0.42857142857142855,0.5714285714285714,0.5
9,inf,160,4,0.1,25,17,21,37,0.62,0.38,0.5434782608695652,0.3148148148148148,0.6851851851851852,0.5952380952380952
0,inf,160,4,0.15,32,16,21,31,0.63,0.37,0.6037735849056604,0.3404255319148936,0.6595744680851063,0.6666666666666666
1,inf,160,4,0.15,34,13,18,35,0.69,0.31,0.6538461538461539,0.2708333333333333,0.7291666666666666,0.723404255319149
2,inf,160,4,0.15,32,25,20,23,0.55,0.45,0.6153846153846154,0.5208333333333334,0.4791666666666667,0.5614035087719298
3,inf,160,4,0.15,32,20,16,32,0.64,0.36,0.6666666666666666,0.38461538461538464,0.6153846153846154,0.6153846153846154
4,inf,160,4,0.15,22,15,26,37,0.59,0.41,0.4583333333333333,0.28846153846153844,0.7115384615384616,0.5945945945945946
5,inf,160,4,0.15,28,24,18,30,0.58,0.42,0.6086956521739131,0.4444444444444444,0.5555555555555556,0.5384615384615384
6,inf,160,4,0.15,30,25,16,29,0.59,0.41,0.6521739130434783,0.46296296296296297,0.5370370370370371,0.5454545454545454
7,inf,160,4,0.15,24,14,25,37,0.61,0.39,0.4897959183673469,0.27450980392156865,0.7254901960784313,0.631578947368421
8,inf,160,4,0.15,46,17,14,23,0.69,0.31,0.7666666666666667,0.425,0.575,0.7301587301587301
9,inf,160,4,0.15,31,10,22,37,0.68,0.32,0.5849056603773585,0.2127659574468085,0.7872340425531915,0.7560975609756098
0,inf,160,4,0.2,25,19,22,34,0.59,0.41,0.5319148936170213,0.3584905660377358,0.6415094339622641,0.5681818181818182
