TrialNumber,Metric,K,N,Mean,StandardDeviation
int,str,int,int,float,float
0,1,500,1,0.00137415989859,0.0014275843361888064
1,1,500,1,0.00144054057966,0.0013716672260766834
2,1,500,1,0.00140662474842,0.001539665278954333
3,1,500,1,0.00142900211299,0.0014703074234027637
4,1,500,1,0.00136707316297,0.0015965871889814152
5,1,500,1,0.00127896274621,0.0014574585743284824
6,1,500,1,0.00141885696987,0.001545780240798223
7,1,500,1,0.00139087336664,0.0016064358960415433
8,1,500,1,0.00137528780954,0.0014056645932963847
9,1,500,1,0.0014005074341,0.0012886664931275377
10,1,500,1,0.00139477104182,0.001375535124268879
11,1,500,1,0.00142155052061,0.0016987346576230677
12,1,500,1,0.0013489189441,0.0013604905734780782
13,1,500,1,0.00141533706207,0.001417555355919861
14,1,500,1,0.00141766887924,0.0013385283472925609
15,1,500,1,0.00136950333028,0.0015608485360110744
16,1,500,1,0.00138600524664,0.0015212357136801258
17,1,500,1,0.00140313158714,0.0014414858671908351
18,1,500,1,0.00130240300717,0.0013871663107866423
19,1,500,1,0.00140135929405,0.001476271976458608
20,1,500,1,0.00144438650956,0.0014337159187337032
21,1,500,1,0.00132400921858,0.0014102078256111202
22,1,500,1,0.00128930030059,0.0014238754077043833
23,1,500,1,0.0014548705168,0.0013274710505206697
24,1,500,1,0.00129510803349,0.001236281369244932
0,1,500,2,0.0190579114828,0.010984435859591218
1,1,500,2,0.0208371854439,0.011338560007524277
2,1,500,2,0.0204526177395,0.010351721134281868
3,1,500,2,0.0202234412285,0.010132090138694351
4,1,500,2,0.0202767129769,0.011841018252967876
5,1,500,2,0.0206025419847,0.011510069547044111
6,1,500,2,0.0188272147901,0.01194224152457632
7,1,500,2,0.0204608703534,0.01125224255798783
8,1,500,2,0.0197108301389,0.011207169582505054
9,1,500,2,0.02090585587,0.01098496000525578
10,1,500,2,0.019632280005,0.01108809109213415
11,1,500,2,0.020294119874,0.011309474210015007
12,1,500,2,0.0194863342163,0.010752886801726947
13,1,500,2,0.0195150522038,0.011562698468877477
14,1,500,2,0.0201549887401,0.010971353027916521
15,1,500,2,0.0201204480489,0.01061840073946235
16,1,500,2,0.0199812507019,0.010896416998050754
17,1,500,2,0.0191383443664,0.011004183519276383
18,1,500,2,0.020194590699,0.011773970205499001
19,1,500,2,0.0203388108157,0.010057252384210019
20,1,500,2,0.0200693534308,0.011708108682200057
21,1,500,2,0.0201432911546,0.011279554065824931
22,1,500,2,0.0199638795372,0.010737363429628662
23,1,500,2,0.0194099850551,0.0112644095632454
24,1,500,2,0.0210561669871,0.010736768268997846
0,1,500,3,0.0520644924582,0.02013852383794767
1,1,500,3,0.0544551108235,0.020303635705417253
2,1,500,3,0.053511228451,0.021066219039824308
3,1,500,3,0.0520293643301,0.020043253182996063
4,1,500,3,0.0514843810766,0.019732807162042187
5,1,500,3,0.0533868559293,0.019041231512978863
6,1,500,3,0.0516748373469,0.02123660954886673
7,1,500,3,0.0520651548069,0.020577198792591185
8,1,500,3,0.0504031809191,0.019969227325728818
9,1,500,3,0.051148104336,0.019894471194993022
10,1,500,3,0.0533733355654,0.01995190269745706
11,1,500,3,0.0528461645473,0.02179290206908166
12,1,500,3,0.0524550403018,0.018337285978864814
13,1,500,3,0.0534876044911,0.021847863792663905
14,1,500,3,0.052330323776,0.02027779059331823
15,1,500,3,0.0522717942685,0.022494061956277477
16,1,500,3,0.0533020922274,0.021118066604097582
17,1,500,3,0.0507446568842,0.020744711227921386
18,1,500,3,0.0488995314942,0.020049681055575353
19,1,500,3,0.0499097813458,0.02091859920753103
20,1,500,3,0.0524485648944,0.020311279519677497
21,1,500,3,0.0522203366202,0.02180683064654965
22,1,500,3,0.0519265791723,0.019928247214997617
23,1,500,3,0.052327736459,0.021106177601335933
24,1,500,3,0.0508114073125,0.020613981999367845
0,1,500,4,0.0857748408765,0.02738288194499346
1,1,500,4,0.0900327440404,0.0259574374291327
2,1,500,4,0.0880519487133,0.027133631944512727
3,1,500,4,0.0884202332177,0.026711847243779483
4,1,500,4,0.0858199190346,0.02934905529443237
5,1,500,4,0.0878698906073,0.027125959016336708
6,1,500,4,0.0874691479471,0.026006913020280013
7,1,500,4,0.0867792826203,0.02764360103499179
8,1,500,4,0.0882743166299,0.026717477381231623
9,1,500,4,0.0861748117707,0.025221333511672633
10,1,500,4,0.086357553603,0.028671195518363952
11,1,500,4,0.0847829791107,0.027922903762200215
12,1,500,4,0.0898402291431,0.024655907889539336
13,1,500,4,0.0874362682475,0.025534043563423526
14,1,500,4,0.0881888855964,0.028405012712473043
15,1,500,4,0.0873702498159,0.026147680279318755
16,1,500,4,0.0872440020449,0.02831837988689792
17,1,500,4,0.0888257749656,0.02565238551115337
18,1,500,4,0.0859008851918,0.027962996895073693
19,1,500,4,0.0901857802359,0.02748385704427134
20,1,500,4,0.0889435451391,0.02738484056361057
21,1,500,4,0.0906907554608,0.02629701098193542
22,1,500,4,0.0882945988399,0.02779476904990478
23,1,500,4,0.0869990223353,0.025914672416910065
24,1,500,4,0.0861266665336,0.027446227964674857
0,1,500,5,0.123286466771,0.030040596724864935
1,1,500,5,0.120959394192,0.03323066124142783
2,1,500,5,0.116821381968,0.030825197297462803
3,1,500,5,0.123610771869,0.0322490629381389
4,1,500,5,0.117993170746,0.03097275731566604
5,1,500,5,0.120336904235,0.03018915040045615
6,1,500,5,0.123136295712,0.032193760839128484
7,1,500,5,0.121467709007,0.029670373104802118
8,1,500,5,0.120005852935,0.030335399366367723
9,1,500,5,0.125073629572,0.03164137779106207
10,1,500,5,0.121228922469,0.03129820708233837
11,1,500,5,0.123013677362,0.03273362932572036
12,1,500,5,0.118064471372,0.029097716930617305
13,1,500,5,0.119493676266,0.029742836237147487
14,1,500,5,0.125987094378,0.0326045590436239
15,1,500,5,0.122964193309,0.03324316838562245
16,1,500,5,0.119799794307,0.030603477498420822
17,1,500,5,0.119806721734,0.03157814240703467
18,1,500,5,0.121613847778,0.029967849036235443
19,1,500,5,0.123140113488,0.027852535742000847
20,1,500,5,0.118756315107,0.031490795841146536
21,1,500,5,0.116650978388,0.0326532723898498
22,1,500,5,0.11862086728,0.030861107545161606
23,1,500,5,0.117402969881,0.03181814926525107
24,1,500,5,0.119646017845,0.03038803788050631
0,1,500,6,0.149007450337,0.03459981141592481
1,1,500,6,0.151620781165,0.0353041306209679
2,1,500,6,0.154579014523,0.03451186193230169
3,1,500,6,0.147842194732,0.03687502731945466
4,1,500,6,0.152828105117,0.03217171092888565
5,1,500,6,0.156602827971,0.035007253171109504
6,1,500,6,0.15564180817,0.03340008579918527
7,1,500,6,0.150370949104,0.033632987758784184
8,1,500,6,0.151887524218,0.03521918828550252
9,1,500,6,0.153228357293,0.030966371196341266
10,1,500,6,0.150824565983,0.03403274575088968
11,1,500,6,0.153749543875,0.03587898404392677
12,1,500,6,0.150902714837,0.03525594142780679
13,1,500,6,0.152917198348,0.0336616557607317
14,1,500,6,0.153159195101,0.033247078439688854
15,1,500,6,0.152890020645,0.03402371375991053
16,1,500,6,0.153035220622,0.03291587620113415
17,1,500,6,0.154391428348,0.034057347326464565
18,1,500,6,0.155120424629,0.03194593891533972
19,1,500,6,0.152700948504,0.03474763050807561
20,1,500,6,0.149935194239,0.03259309835886362
21,1,500,6,0.150052027548,0.035714489854584544
22,1,500,6,0.147598288336,0.035324332556365794
23,1,500,6,0.152801040836,0.03342605524346757
24,1,500,6,0.151177119519,0.03342316372670021
0,1,500,7,0.178828544546,0.03464724356732984
1,1,500,7,0.17716253192,0.03986719487333264
2,1,500,7,0.183793757148,0.03644151442917794
3,1,500,7,0.179525752254,0.0324796192674595
4,1,500,7,0.182878027248,0.034122242948760456
5,1,500,7,0.180781676078,0.03338380748741916
6,1,500,7,0.185244278484,0.03600702043001796
7,1,500,7,0.180480251614,0.038433039354501826
8,1,500,7,0.180643304459,0.036981676849202456
9,1,500,7,0.17884785111,0.03642438692134605
10,1,500,7,0.179408536633,0.03323945773985158
11,1,500,7,0.177435007259,0.0376326038441939
12,1,500,7,0.181703551436,0.03767843082892548
13,1,500,7,0.182119767751,0.034239344308639924
14,1,500,7,0.180281494603,0.03598815725933484
15,1,500,7,0.181609794293,0.032793532647409286
16,1,500,7,0.180046754728,0.03569473640215769
17,1,500,7,0.179042588651,0.03658843101782684
18,1,500,7,0.179105719933,0.03663799664570477
19,1,500,7,0.180532613671,0.03136136911199838
20,1,500,7,0.178762824584,0.03694169688025246
21,1,500,7,0.18265560243,0.0347750124879791
22,1,500,7,0.180710357817,0.03642508605747879
23,1,500,7,0.182192921829,0.03607235533782812
24,1,500,7,0.178377663769,0.03494971357551958
0,1,500,8,0.208942613886,0.032843499217077875
1,1,500,8,0.203193339398,0.035422751800679025
2,1,500,8,0.204051195647,0.03789707501233273
3,1,500,8,0.206924822417,0.037761806663522
4,1,500,8,0.205579847429,0.036785487482745134
5,1,500,8,0.20276094926,0.035102425900938525
6,1,500,8,0.205935711935,0.03826150700643258
7,1,500,8,0.209625792601,0.035942532147780225
8,1,500,8,0.205574466566,0.03574905845204001
