TrialNumber,Metric,NormalizationMetric,K,N,MinDistance,MaxDistance,Mean,StandardDeviation
0,1,2,500,10,0.604892889865,1.98336083044,0.305008647243,0.04591828947548684
1,1,2,500,10,0.618643250449,1.98155630632,0.312200404974,0.04389154590942445
2,1,2,500,10,0.605398208908,1.98250313391,0.305359491441,0.045224587264564194
3,1,2,500,10,0.598520226641,1.98234108095,0.301961485174,0.047109004038790675
4,1,2,500,10,0.600309055472,1.98131216405,0.303004787778,0.04578460565242461
5,1,2,500,10,0.603391827013,1.98202074134,0.304462381615,0.04347741659379372
6,1,2,500,10,0.601477823335,1.98272096018,0.303335094012,0.044723964439657496
7,1,2,500,10,0.601984929362,1.98262112014,0.303644076042,0.044880463091454395
8,1,2,500,10,0.605183426216,1.98180458789,0.305374105051,0.047993419515255396
9,1,2,500,10,0.609594944573,1.98373639577,0.307316689495,0.04891060888995609
0,1,2,500,20,0.84276267028,1.87522681484,0.449532243853,0.03720748599190485
1,1,2,500,20,0.84435947241,1.87734995761,0.449929976339,0.039665870701235124
2,1,2,500,20,0.835541508912,1.87395550747,0.445951088727,0.03754009119549096
3,1,2,500,20,0.833084137926,1.87877874211,0.443560226945,0.04034438431654234
4,1,2,500,20,0.838943272385,1.87218283342,0.448204876889,0.03954862979202713
5,1,2,500,20,0.841417843272,1.87635403153,0.448570661838,0.04191191266202377
6,1,2,500,20,0.835434024606,1.87268300755,0.446266482408,0.037934434586752545
7,1,2,500,20,0.838886166535,1.88341144317,0.44552841911,0.0370364354715959
8,1,2,500,20,0.841848727286,1.87612374383,0.448792487111,0.03688318613063682
9,1,2,500,20,0.841366613184,1.87747131358,0.448182763392,0.03626965705703412
0,1,2,500,30,0.93564902027,1.80919793619,0.517268218791,0.03608027181775455
1,1,2,500,30,0.945383560987,1.80777886958,0.523117370735,0.03549949638891808
2,1,2,500,30,0.945325511669,1.80575562512,0.523687876808,0.03583370718518576
3,1,2,500,30,0.941557676813,1.80354248501,0.522253253487,0.033907776456701386
4,1,2,500,30,0.947442606975,1.80456012388,0.52522116032,0.03537712958091569
5,1,2,500,30,0.950879626204,1.81503338746,0.524041131208,0.03138187351178757
6,1,2,500,30,0.946755780423,1.81004760138,0.52324317348,0.03446949038338463
7,1,2,500,30,0.946201289098,1.80902714846,0.523181207606,0.033804001295581775
8,1,2,500,30,0.941656370799,1.80818645428,0.520947655618,0.03949391638675386
9,1,2,500,30,0.940049016992,1.80710248923,0.520391951759,0.03555471985144625
0,1,2,500,40,1.00970163904,1.76494559576,0.572232492627,0.0304992663303118
1,1,2,500,40,1.00417038874,1.76439204034,0.56937559923,0.030891092107078525
2,1,2,500,40,1.01175686924,1.76425303771,0.573627761801,0.0305957141924572
3,1,2,500,40,1.01678823094,1.76477650037,0.576402463287,0.03042296224252569
4,1,2,500,40,1.01350025676,1.76220502883,0.575304069028,0.0321583177083121
5,1,2,500,40,1.0039914066,1.76369658438,0.569398468536,0.029750229270062586
6,1,2,500,40,1.00813764187,1.76256223848,0.572190059076,0.029835760234537503
7,1,2,500,40,1.01377306402,1.76375887619,0.574897662735,0.030207482564569905
8,1,2,500,40,1.0183512414,1.76433398998,0.577321194034,0.030006541405129334
9,1,2,500,40,1.00805565492,1.7655888648,0.57106520996,0.030659219969275748
0,1,2,500,50,1.0600510665,1.73144199312,0.612373131234,0.026820399760220052
1,1,2,500,50,1.05216099933,1.72926620008,0.608621447497,0.028255166081097443
2,1,2,500,50,1.05663201367,1.73287008499,0.609949558162,0.02785087812357889
3,1,2,500,50,1.05225107096,1.72830935895,0.608972352638,0.03003389177241836
4,1,2,500,50,1.05747640281,1.72995270765,0.611413593767,0.027876014494165005
5,1,2,500,50,1.05161429992,1.7275591711,0.608953510935,0.028739663090852446
6,1,2,500,50,1.05517936332,1.732799815,0.609169785518,0.028349174278347197
7,1,2,500,50,1.05426730765,1.73303961932,0.608514387585,0.029489411439509058
8,1,2,500,50,1.05533782161,1.72714968891,0.611178939292,0.027713383773612904
9,1,2,500,50,1.05173552546,1.73128486205,0.607709537532,0.03002421583146249
0,1,2,500,60,1.08953508674,1.70543407248,0.638982189213,0.02631256412645749
1,1,2,500,60,1.08357751717,1.70796394215,0.634632553671,0.0267342466291595
2,1,2,500,60,1.08691565868,1.70452704004,0.637826160939,0.02477453774493725
3,1,2,500,60,1.08540942365,1.70500058041,0.636774243051,0.026192806993033068
4,1,2,500,60,1.08448935919,1.70616920967,0.635811298038,0.02753838850815523
5,1,2,500,60,1.08356004323,1.70533871674,0.635532998272,0.026336637803688896
6,1,2,500,60,1.08433737985,1.70455168695,0.636358566129,0.02658427216133177
7,1,2,500,60,1.09131725991,1.70559264666,0.640007379715,0.025085332286974484
8,1,2,500,60,1.08840367849,1.70224864424,0.639548869055,0.026525501850936627
9,1,2,500,60,1.08321066745,1.70451976917,0.635683975439,0.027741276158226868
0,1,2,500,70,1.10826970043,1.68776542295,0.656880177041,0.027868251044986223
1,1,2,500,70,1.11528499037,1.69151916828,0.659510809798,0.023824112888317758
2,1,2,500,70,1.10810589056,1.68872673402,0.656384358623,0.026199693195632052
3,1,2,500,70,1.11137262391,1.68587324782,0.659414989614,0.027650122357528423
4,1,2,500,70,1.11306386525,1.68715627109,0.659919736984,0.02499489402902201
5,1,2,500,70,1.10499044106,1.68574057292,0.655677050578,0.026450602841056305
6,1,2,500,70,1.11017528694,1.6863611303,0.658468365852,0.02579316078999976
7,1,2,500,70,1.11214117266,1.6872022753,0.659294832215,0.02389936794977216
8,1,2,500,70,1.1095383997,1.68895633426,0.657141367535,0.02610574633599692
9,1,2,500,70,1.11153278106,1.68428832384,0.660110221742,0.0258617062945285
0,1,2,500,80,1.12866459296,1.66862769592,0.676615438064,0.02574852628815256
1,1,2,500,80,1.13544723455,1.67313016165,0.67880524968,0.021752739160543086
2,1,2,500,80,1.13224013574,1.66623932131,0.679676143818,0.022828195075459457
3,1,2,500,80,1.13189376063,1.67440618282,0.676202988327,0.0253439699512148
4,1,2,500,80,1.13075056757,1.67068999247,0.67700836954,0.025576614003394525
5,1,2,500,80,1.13104934918,1.67146335192,0.676855816479,0.02437194260562082
6,1,2,500,80,1.13029711594,1.67344678614,0.67558494835,0.023773352678724404
7,1,2,500,80,1.12871366092,1.6732997709,0.674708555225,0.024573298099585913
8,1,2,500,80,1.12610607997,1.67058215588,0.674295218003,0.025284545496679505
9,1,2,500,80,1.13263859786,1.67227628737,0.677474222656,0.022357184410030755
0,1,2,500,90,1.14801675073,1.65517344758,0.693726168146,0.022673775914071045
1,1,2,500,90,1.14851209369,1.65460075802,0.694293775456,0.022483599451573064
2,1,2,500,90,1.14796482895,1.65729400579,0.692805299065,0.02466933329500666
3,1,2,500,90,1.14601062262,1.65541657152,0.692415972679,0.023710925789214105
4,1,2,500,90,1.14972588055,1.65759761608,0.693761826452,0.022671486642774765
5,1,2,500,90,1.14850849275,1.65717755097,0.69323557796,0.022203160503407076
6,1,2,500,90,1.1458325364,1.65356204408,0.693097729119,0.023735157412694108
7,1,2,500,90,1.14920078915,1.65643444,0.693967794349,0.022942375815797705
8,1,2,500,90,1.14283810439,1.65608996468,0.690256391478,0.023711426783267032
9,1,2,500,90,1.14955115783,1.65599264034,0.694325082833,0.02283147358533996
0,1,2,500,100,1.15983111348,1.64736226418,0.704236353641,0.022952653386122936
1,1,2,500,100,1.1621160798,1.64739434635,0.705547680042,0.02348365756247986
2,1,2,500,100,1.16428171898,1.64831419686,0.706504365823,0.021640443083208637
3,1,2,500,100,1.16111978716,1.64387114897,0.706528545561,0.023291977136822288
4,1,2,500,100,1.15925480025,1.64284489215,0.705801544107,0.022768551393819222
5,1,2,500,100,1.15916029844,1.64719876624,0.703870115459,0.02267104831660027
6,1,2,500,100,1.16326105373,1.64537423096,0.707187926525,0.0215012913193907
7,1,2,500,100,1.16312681278,1.64241565444,0.708308178746,0.022151189318805768
8,1,2,500,100,1.16431508122,1.64852611579,0.7064886086,0.0233944013441637
9,1,2,500,100,1.16265065671,1.64640101764,0.706313196996,0.021299311253766537
0,2,2,500,1,0.0,2.0,0.0,0.0
1,2,2,500,1,0.0,2.0,0.0,0.0
2,2,2,500,1,0.0,2.0,0.0,0.0
3,2,2,500,1,0.0,2.0,0.0,0.0
4,2,2,500,1,0.0,2.0,0.0,0.0
5,2,2,500,1,0.0,2.0,0.0,0.0
6,2,2,500,1,0.0,2.0,0.0,0.0
7,2,2,500,1,0.0,2.0,0.0,0.0
8,2,2,500,1,0.0,2.0,0.0,0.0
9,2,2,500,1,0.0,2.0,0.0,0.0
0,2,2,500,2,0.00628098421367,1.99997406372,0.00314052515696,0.003218795105866725
1,2,2,500,2,0.00599336787852,1.99997563446,0.00299671602132,0.003153608519360181
2,2,2,500,2,0.00640609986285,1.99997861521,0.00320308138952,0.0034332998215709136
3,2,2,500,2,0.00604327364794,1.99998139289,0.00302166508592,0.0033405023084160618
4,2,2,500,2,0.00630117361411,1.99997626122,0.00315061962978,0.0030379560314249304
5,2,2,500,2,0.00631514740721,1.99998020048,0.00315760777806,0.0032679368429232966
6,2,2,500,2,0.00607869884556,1.99997574175,0.00303938638321,0.0031488566521968337
7,2,2,500,2,0.00653193508821,1.99997920066,0.00326600342354,0.003209013334993357
8,2,2,500,2,0.0063473569748,1.99998187463,0.00317370289323,0.003300623136524625
9,2,2,500,2,0.00634256906606,1.99998200198,0.00317131430577,0.00309766940786277
0,2,2,500,3,0.0793088459787,1.99803364326,0.0396925615638,0.020195977404021858
1,2,2,500,3,0.0800332048228,1.99818785666,0.04005305287,0.021598364351193874
2,2,2,500,3,0.0735078298091,1.99797717951,0.0367919629598,0.020405201790843798
3,2,2,500,3,0.0757834951684,1.99784779724,0.0379353313707,0.019862442831670917
4,2,2,500,3,0.0800835565983,1.99811048137,0.0400786057178,0.020784647271625725
5,2,2,500,3,0.0793617155659,1.99802531316,0.0397177086365,0.020812628318219402
6,2,2,500,3,0.0777427061204,1.9979904501,0.0389100536795,0.02188733980047349
7,2,2,500,3,0.0817237977581,1.99820950468,0.0408998914546,0.02158668212130244
8,2,2,500,3,0.0771002648991,1.99806313609,0.038588768037,0.020595205791026954
9,2,2,500,3,0.0796399153768,1.99821554855,0.0398585831011,0.02100862456862003
0,2,2,500,4,0.189347461747,1.98957804113,0.0951667334716,0.03466219838489817
1,2,2,500,4,0.187515486933,1.98908013904,0.0942657976538,0.034948551094539974
2,2,2,500,4,0.191606163788,1.98977412286,0.0962960614038,0.034393377536013875
3,2,2,500,4,0.191495673726,1.98971376293,0.0962362444744,0.03479176562125783
4,2,2,500,4,0.189045588518,1.99078016692,0.0949625483793,0.034286731150095465
5,2,2,500,4,0.193151927504,1.98953034102,0.0970838952096,0.03397999004374818
6,2,2,500,4,0.19099958092,1.99011672827,0.0959765974873,0.03351185857955765
7,2,2,500,4,0.190443990073,1.98987973213,0.0957071419892,0.03441420237166148
8,2,2,500,4,0.189102391262,1.98989573214,0.0950359261433,0.035192423661750113
9,2,2,500,4,0.18707198489,1.98919443736,0.0940330735203,0.03390291492107774
0,2,2,500,5,0.283506237349,1.97573359463,0.143508224672,0.04037145191667024
1,2,2,500,5,0.297011377769,1.97769453439,0.150194368429,0.04087662846805733
2,2,2,500,5,0.292274917911,1.9769541827,0.147846483654,0.03993596823152522
3,2,2,500,5,0.288430843931,1.97564351853,0.146011491115,0.04276964544050241
4,2,2,500,5,0.297392123626,1.97609238393,0.150501669508,0.04140960031561985
5,2,2,500,5,0.292044135332,1.97629651276,0.147763562359,0.04043368850851725
6,2,2,500,5,0.291183847721,1.9771792387,0.147253061811,0.04346982623589859
7,2,2,500,5,0.303231307353,1.97695021962,0.153395577483,0.037665159332977274
8,2,2,500,5,0.294699601651,1.97757975262,0.149022326578,0.03848457913650036
9,2,2,500,5,0.290327572651,1.97765696632,0.146818767352,0.04150722098829659
0,2,2,500,6,0.376500569198,1.96102943542,0.192022907902,0.042269836186755685
1,2,2,500,6,0.376171175999,1.96020470013,0.191927370417,0.045614949708994094
2,2,2,500,6,0.375781582414,1.96076397326,0.191676046852,0.047861225993500886
3,2,2,500,6,0.380495917558,1.96149332278,0.193996931695,0.042165569297367686
4,2,2,500,6,0.378728183913,1.96129270867,0.193076345717,0.0444930818061251
5,2,2,500,6,0.38695475892,1.9602035653,0.197406343754,0.04324993377672478
6,2,2,500,6,0.392705785583,1.96273253692,0.200096987015,0.04516119318272082
7,2,2,500,6,0.376817072131,1.96122887459,0.192130106275,0.047175906062495804
8,2,2,500,6,0.373584278496,1.96193066771,0.190436283847,0.044823503395755526
9,2,2,500,6,0.386364746499,1.95906091988,0.197221386279,0.04603883759093393
0,2,2,500,7,0.460303219279,1.94489200214,0.236741200144,0.04438229719620401
1,2,2,500,7,0.459424835024,1.94510850829,0.236212256958,0.043724653549626055
2,2,2,500,7,0.449078420028,1.94331795392,0.23110298373,0.04415217190959554
3,2,2,500,7,0.457061885093,1.94705568022,0.234789580044,0.04267425215028042
4,2,2,500,7,0.451606378175,1.94486529175,0.232238178926,0.045825865053159644
5,2,2,500,7,0.463783368082,1.9454830754,0.238431603429,0.04596162084635046
6,2,2,500,7,0.459019574399,1.94548642363,0.235981279822,0.04535481516262604
7,2,2,500,7,0.452018706161,1.9454778665,0.232365864647,0.0481642589748051
8,2,2,500,7,0.456200251664,1.94407125495,0.234695942806,0.047095460247012916
9,2,2,500,7,0.450556423475,1.9443027803,0.231782548334,0.0478443240423157
0,2,2,500,8,0.514309324175,1.92814281063,0.266799162743,0.04447401410352218
1,2,2,500,8,0.51870608707,1.92924752942,0.268859381838,0.04684166920291281
2,2,2,500,8,0.516499693587,1.9315372671,0.26742324671,0.04521949931351465
3,2,2,500,8,0.524245611628,1.9297814134,0.271653195969,0.04228481604587186
4,2,2,500,8,0.513191130167,1.92842151589,0.266196091091,0.04715904725255835
5,2,2,500,8,0.523722412185,1.92866116775,0.271554903575,0.0449545160132472
6,2,2,500,8,0.524184064732,1.92956628863,0.271662419545,0.04581252088095318
7,2,2,500,8,0.519107983519,1.92805716135,0.269210204091,0.049467398172764895
8,2,2,500,8,0.518207125873,1.93025419801,0.268503396049,0.04437964156502308
9,2,2,500,8,0.519274708883,1.92822971576,0.269397521268,0.04884004078998386
0,2,2,500,9,0.579322370059,1.91421280701,0.302728716531,0.04658486690066518
1,2,2,500,9,0.573792106063,1.91527669672,0.299641702336,0.04304330768796758
2,2,2,500,9,0.577282434904,1.9165383438,0.301242082727,0.04328580319058196
3,2,2,500,9,0.568677248633,1.91263427348,0.297360721779,0.04605927012204646
4,2,2,500,9,0.573984583443,1.91690260243,0.29944465853,0.04653186546047462
5,2,2,500,9,0.571143732844,1.91314782302,0.298567724568,0.04649881465100244
6,2,2,500,9,0.563360230244,1.91348873582,0.294499845394,0.04613306458041953
7,2,2,500,9,0.571606335226,1.91320691948,0.298784890571,0.04375545116240421
8,2,2,500,9,0.568302365985,1.91490575922,0.296812284785,0.04689034197074822
9,2,2,500,9,0.565608008964,1.91416402811,0.295532133659,0.04614129092024087
0,2,2,500,10,0.620273457764,1.9022743947,0.326116490837,0.04513728570883784
1,2,2,500,10,0.613413810188,1.89775803947,0.323310065176,0.04528697459625925
2,2,2,500,10,0.615879346453,1.90130072942,0.324010569545,0.045726946957823186
3,2,2,500,10,0.61550872814,1.90141435016,0.323763211818,0.04332610975865427
4,2,2,500,10,0.626794626023,1.90172526024,0.329683939661,0.0423796672314133
5,2,2,500,10,0.608733070556,1.90038607193,0.320374684243,0.04763697136389306
6,2,2,500,10,0.615051153165,1.90044418795,0.323614733091,0.04247209485917876
7,2,2,500,10,0.621056410982,1.90019667187,0.326934966126,0.04453249653265999
8,2,2,500,10,0.621423389271,1.89770586777,0.327512286135,0.04317804897783184
9,2,2,500,10,0.603252921207,1.90129325044,0.317294610202,0.046825343617061484
0,2,2,500,20,0.863112780451,1.80212936017,0.479104855609,0.040957601773345
1,2,2,500,20,0.863025092742,1.80287239752,0.478842400777,0.04136910838397329
2,2,2,500,20,0.867317757852,1.80233745762,0.481382018172,0.03798225126332484
3,2,2,500,20,0.865504948047,1.80303347313,0.480206517626,0.03876246343851132
4,2,2,500,20,0.860825254183,1.79944574354,0.478533146505,0.03883523749591069
5,2,2,500,20,0.862502799287,1.80213128991,0.478778656025,0.04078257907409614
6,2,2,500,20,0.869418624173,1.80085452061,0.482920015854,0.03598001762039181
7,2,2,500,20,0.871272662371,1.80284195675,0.483457281681,0.03697173017349916
8,2,2,500,20,0.866381452875,1.80281180731,0.480642469339,0.03785088818322577
9,2,2,500,20,0.862481608572,1.8021584789,0.478693579705,0.039585779528721415
0,2,2,500,30,0.977150845692,1.74547465087,0.559978405448,0.03408714956796188
1,2,2,500,30,0.972906063922,1.7461542067,0.557338810242,0.03626110214252993
2,2,2,500,30,0.976081371841,1.74304639183,0.560119696028,0.03312643321253098
3,2,2,500,30,0.969238982904,1.74561516505,0.555441884235,0.03437472133081862
4,2,2,500,30,0.971730516796,1.74588072622,0.556774456968,0.03408032629472333
5,2,2,500,30,0.976983580723,1.74738084511,0.559288819304,0.030627383051832168
6,2,2,500,30,0.973096350153,1.74391232608,0.558156080914,0.032464219583807435
7,2,2,500,30,0.979132904409,1.74445025316,0.561416143555,0.030891109147943747
8,2,2,500,30,0.975236976388,1.74670228728,0.558524548953,0.032804163561145065
9,2,2,500,30,0.975524406835,1.74469400312,0.55933398603,0.03520318792001632
0,2,2,500,40,1.03710751995,1.71084625245,0.606405557802,0.0301243292212752
1,2,2,500,40,1.03798905177,1.70666107049,0.60840373897,0.030227034281363026
2,2,2,500,40,1.0386200444,1.70777469375,0.608376861624,0.029008340828487654
3,2,2,500,40,1.0370215803,1.70815551035,0.607310076853,0.02977636057215112
4,2,2,500,40,1.0408358795,1.70860154485,0.609369172278,0.029848528348871355
5,2,2,500,40,1.03866315946,1.70937628456,0.607838765565,0.026903936187105303
6,2,2,500,40,1.04303632045,1.71323853648,0.608991556581,0.027563250799527126
7,2,2,500,40,1.03416584478,1.70865061928,0.605396702458,0.030185647023244538
8,2,2,500,40,1.03943097055,1.70953991956,0.608145162199,0.028979051771883382
9,2,2,500,40,1.03485224883,1.70672564278,0.606495832578,0.032506063638642266
0,2,2,500,50,1.08137125188,1.68282041133,0.642749544096,0.02694635014731395
1,2,2,500,50,1.0799165255,1.68135060745,0.642449661467,0.028083239449084814
2,2,2,500,50,1.08149213449,1.68207274983,0.643085446295,0.02683064697304959
3,2,2,500,50,1.08311703213,1.68408975478,0.643368863385,0.029326557303260135
4,2,2,500,50,1.07930649903,1.68146920165,0.642030906183,0.02865804653956023
5,2,2,500,50,1.08029806883,1.68183633726,0.642496764681,0.027611699955615115
6,2,2,500,50,1.08191648808,1.68039457298,0.64400649835,0.024619169340013514
7,2,2,500,50,1.08404407866,1.68218273751,0.644600101991,0.0254278853748605
8,2,2,500,50,1.08108161939,1.68428678819,0.642020250431,0.025840848070317377
9,2,2,500,50,1.07964224956,1.68276447853,0.641722728335,0.027030301299075153
0,2,2,500,60,1.1141823837,1.65955166486,0.671527167463,0.024751069908931618
1,2,2,500,60,1.10964434319,1.66167018098,0.667947888188,0.026600199917370504
2,2,2,500,60,1.11408174518,1.66328850124,0.669946334039,0.02431712201027255
3,2,2,500,60,1.1126834325,1.66174978072,0.669733838939,0.024922806898360884
4,2,2,500,60,1.10967621443,1.66260913656,0.667609451759,0.026038612147469196
5,2,2,500,60,1.11343147936,1.66010243427,0.670840149089,0.024019093443317173
6,2,2,500,60,1.11266383804,1.66105973497,0.670008722471,0.024473085482623936
7,2,2,500,60,1.11224437076,1.66381086566,0.668655616259,0.023814853260219072
8,2,2,500,60,1.11184667917,1.6631743121,0.668685170178,0.02420998030659589
9,2,2,500,60,1.10928212578,1.66003666655,0.668373576892,0.02635254311092055
0,2,2,500,70,1.1361530277,1.64640846874,0.690218780382,0.024383059973376957
1,2,2,500,70,1.13457309536,1.64458703949,0.690063665788,0.024242853534057033
2,2,2,500,70,1.13346332271,1.64634396993,0.688608091821,0.024508453275025432
3,2,2,500,70,1.13932817315,1.64647937822,0.692123918063,0.022840187373658522
4,2,2,500,70,1.13905605947,1.64492612603,0.692652805935,0.02506552357663456
5,2,2,500,70,1.13479958375,1.6465384242,0.689353011347,0.023015229186262295
6,2,2,500,70,1.13416796245,1.64613559565,0.689150329133,0.02547779507192196
7,2,2,500,70,1.1373808676,1.64439910575,0.691792317364,0.02149743506232628
8,2,2,500,70,1.13910996663,1.64842451211,0.691198635735,0.023339335361043496
9,2,2,500,70,1.1381563669,1.6466545249,0.691337367746,0.023973017621779863
0,2,2,500,80,1.15416705829,1.63063120255,0.707917172664,0.020867491538893862
1,2,2,500,80,1.15682769422,1.63382599866,0.708183307847,0.02336065864088841
2,2,2,500,80,1.15347040004,1.63322537565,0.706370920028,0.02066001395304621
3,2,2,500,80,1.1522590648,1.63259100218,0.705932517449,0.02254172451105853
