Trial,Metric,K,N,sigma,TruePositive,FalsePositive,FalseNegative,TrueNegative,Accuracy,MisclassificationRate,TruePositiveRate,FalsePositiveRate,Specificity,Precision
int,str,int,int,float,int,int,int,int,float,float,float,float,float,float
0,2,300,100,0.3,47,34,6,13,0.6,0.4,0.8867924528301887,0.723404255319149,0.2765957446808511,0.5802469135802469
1,2,300,100,0.3,41,41,6,12,0.53,0.47,0.8723404255319149,0.7735849056603774,0.22641509433962265,0.5
2,2,300,100,0.3,24,17,25,34,0.58,0.42,0.4897959183673469,0.3333333333333333,0.6666666666666666,0.5853658536585366
3,2,300,100,0.3,43,40,7,10,0.53,0.47,0.86,0.8,0.2,0.5180722891566265
4,2,300,100,0.3,37,32,14,17,0.54,0.46,0.7254901960784313,0.6530612244897959,0.3469387755102041,0.5362318840579711
5,2,300,100,0.3,28,21,25,26,0.54,0.46,0.5283018867924528,0.44680851063829785,0.5531914893617021,0.5714285714285714
6,2,300,100,0.3,44,40,3,13,0.57,0.43,0.9361702127659575,0.7547169811320755,0.24528301886792453,0.5238095238095238
7,2,300,100,0.3,27,27,18,28,0.55,0.45,0.6,0.4909090909090909,0.509090909090909,0.5
8,2,300,100,0.3,47,30,10,13,0.6,0.4,0.8245614035087719,0.6976744186046512,0.3023255813953488,0.6103896103896104
9,2,300,100,0.3,36,28,16,20,0.56,0.44,0.6923076923076923,0.5833333333333334,0.4166666666666667,0.5625
0,2,300,100,0.35,28,20,22,30,0.58,0.42,0.56,0.4,0.6,0.5833333333333334
1,2,300,100,0.35,15,9,36,40,0.55,0.45,0.29411764705882354,0.1836734693877551,0.8163265306122449,0.625
2,2,300,100,0.35,21,12,29,38,0.59,0.41,0.42,0.24,0.76,0.6363636363636364
3,2,300,100,0.35,27,23,27,23,0.5,0.5,0.5,0.5,0.5,0.54
4,2,300,100,0.35,31,30,14,25,0.56,0.44,0.6888888888888889,0.5454545454545454,0.45454545454545453,0.5081967213114754
5,2,300,100,0.35,31,26,20,23,0.54,0.46,0.6078431372549019,0.5306122448979592,0.46938775510204084,0.543859649122807
6,2,300,100,0.35,24,17,30,29,0.53,0.47,0.4444444444444444,0.3695652173913043,0.6304347826086957,0.5853658536585366
