TrialNumber,Metric,NormalizationMetric,K,N,Mean,StandardDeviation
str,str,str,int,int,float,float
0,2,2,500,50,0.601343005,0.029462691
1,2,2,500,50,0.60237461,0.029806242
2,2,2,500,50,0.604616697,0.028611669
3,2,2,500,50,0.600623223,0.029994662
4,2,2,500,50,0.606348811,0.028248417
0,2,2,500,60,0.629299254,0.027445461
1,2,2,500,60,0.631944169,0.027028696
2,2,2,500,60,0.632061488,0.026066632
3,2,2,500,60,0.634792577,0.028347892
4,2,2,500,60,0.630645237,0.02753735
0,2,2,500,70,0.656357174,0.026458867
1,2,2,500,70,0.654935321,0.024846417
2,2,2,500,70,0.652767776,0.027918988
3,2,2,500,70,0.65584233,0.025014579
4,2,2,500,70,0.653503608,0.02738247
0,2,2,500,80,0.676534045,0.024487708
1,2,2,500,80,0.675354851,0.026477936
2,2,2,500,80,0.670062398,0.02513726
3,2,2,500,80,0.670313719,0.024538598
4,2,2,500,80,0.674309699,0.024287512
0,2,2,500,90,0.692042525,0.023814969
1,2,2,500,90,0.693841256,0.022959803
2,2,2,500,90,0.691048133,0.023144069
3,2,2,500,90,0.68640233,0.023941715
4,2,2,500,90,0.686296439,0.024976968
0,2,2,500,100,0.702965521,0.021418958
1,2,2,500,100,0.705178743,0.022282235
2,2,2,500,100,0.70407288,0.022560986
3,2,2,500,100,0.701817017,0.021934231
4,2,2,500,100,0.701016812,0.023160716
0,inf,2,500,2,0.001998484,0.002028179
1,inf,2,500,2,0.001937345,0.001949998
2,inf,2,500,2,0.001991089,0.00185438
3,inf,2,500,2,0.002130648,0.00207224
4,inf,2,500,2,0.002111337,0.002124793
0,inf,2,500,3,0.03452913,0.019099199
1,inf,2,500,3,0.034731593,0.017960583
2,inf,2,500,3,0.03406597,0.018841445
3,inf,2,500,3,0.035582181,0.019195465
4,inf,2,500,3,0.035781726,0.018468656
0,inf,2,500,4,0.092410612,0.036124016
1,inf,2,500,4,0.091217949,0.033582556
2,inf,2,500,4,0.09097379,0.034278247
3,inf,2,500,4,0.092302922,0.036206992
4,inf,2,500,4,0.089146089,0.03401307
0,inf,2,500,5,0.143629039,0.044789846
1,inf,2,500,5,0.15032028,0.040743493
2,inf,2,500,5,0.148609101,0.042436285
3,inf,2,500,5,0.147771294,0.048219347
4,inf,2,500,5,0.150748935,0.044532652
