Trial,Metric,K,N,sigma,TruePositive,FalsePositive,FalseNegative,TrueNegative,Accuracy,MisclassificationRate,TruePositiveRate,FalsePositiveRate,Specificity,Precision
int,str,int,int,float,int,int,int,int,float,float,float,float,float,float
0,2,5000,100,0.001,357,302,129,212,0.569,0.431,0.7345679012345679,0.5875486381322957,0.41245136186770426,0.5417298937784522
1,2,5000,100,0.001,328,249,178,245,0.573,0.427,0.6482213438735178,0.5040485829959515,0.4959514170040486,0.5684575389948007
2,2,5000,100,0.001,186,154,301,359,0.545,0.455,0.38193018480492813,0.3001949317738791,0.6998050682261209,0.5470588235294118
3,2,5000,100,0.001,338,249,173,240,0.578,0.422,0.6614481409001957,0.50920245398773,0.49079754601226994,0.575809199318569
4,2,5000,100,0.001,211,149,282,358,0.569,0.431,0.4279918864097363,0.2938856015779093,0.7061143984220908,0.5861111111111111
5,2,5000,100,0.001,299,212,220,269,0.568,0.432,0.5761078998073218,0.4407484407484408,0.5592515592515592,0.5851272015655578
6,2,5000,100,0.001,337,257,178,228,0.565,0.435,0.654368932038835,0.5298969072164949,0.47010309278350515,0.5673400673400674
7,2,5000,100,0.001,266,167,224,343,0.609,0.391,0.5428571428571428,0.32745098039215687,0.6725490196078432,0.6143187066974596
8,2,5000,100,0.001,326,279,164,231,0.557,0.443,0.6653061224489796,0.5470588235294118,0.45294117647058824,0.5388429752066116
9,2,5000,100,0.001,358,256,171,215,0.573,0.427,0.6767485822306238,0.5435244161358811,0.4564755838641189,0.5830618892508144
10,2,5000,100,0.001,319,232,179,270,0.589,0.411,0.6405622489959839,0.46215139442231074,0.5378486055776892,0.5789473684210527
11,2,5000,100,0.001,178,106,320,396,0.574,0.426,0.357429718875502,0.21115537848605578,0.7888446215139442,0.6267605633802817
12,2,5000,100,0.001,265,191,216,328,0.593,0.407,0.5509355509355509,0.36801541425818884,0.6319845857418112,0.581140350877193
13,2,5000,100,0.001,317,283,179,221,0.538,0.462,0.6391129032258065,0.5615079365079365,0.4384920634920635,0.5283333333333333
14,2,5000,100,0.001,418,292,114,176,0.594,0.406,0.7857142857142857,0.6239316239316239,0.37606837606837606,0.5887323943661972
0,2,5000,100,0.101,363,269,163,205,0.568,0.432,0.6901140684410646,0.5675105485232067,0.43248945147679324,0.5743670886075949
1,2,5000,100,0.101,353,313,138,196,0.549,0.451,0.7189409368635438,0.6149312377210217,0.3850687622789784,0.53003003003003
2,2,5000,100,0.101,277,213,214,296,0.573,0.427,0.5641547861507128,0.41846758349705304,0.581532416502947,0.5653061224489796
3,2,5000,100,0.101,238,170,262,330,0.568,0.432,0.476,0.34,0.66,0.5833333333333334
