TrialNumber,Metric,K,N,Mean,StandardDeviation
int,str,int,int,float,float
0,1,1000,1,0.000685325347064,0.0007260552886299451
1,1,1000,1,0.000703546787883,0.0007241288800534299
2,1,1000,1,0.000720350185346,0.0008171934895742667
3,1,1000,1,0.000714696619865,0.0008030069637086332
4,1,1000,1,0.000728389406316,0.0007117025160353464
5,1,1000,1,0.000674974717655,0.0006758358657229518
6,1,1000,1,0.000708783747133,0.0006806214935902942
7,1,1000,1,0.000675900648588,0.0006801294536803002
8,1,1000,1,0.000671063387436,0.00068424721112283
9,1,1000,1,0.000704017921854,0.0007571633170080261
10,1,1000,1,0.000685515181049,0.0007423911318445966
11,1,1000,1,0.000718831684414,0.0007284145832733987
12,1,1000,1,0.000712329563469,0.0006862991742301493
13,1,1000,1,0.000682086920538,0.0006633244735097374
14,1,1000,1,0.000679295444576,0.0007271359491057745
15,1,1000,1,0.000714914179808,0.0007296395172891409
16,1,1000,1,0.000696632848121,0.0007271265349515067
17,1,1000,1,0.000710819586741,0.000783537820669
18,1,1000,1,0.000682292089418,0.0007159038720083113
19,1,1000,1,0.000703183694063,0.0007715482282408554
20,1,1000,1,0.000701042397774,0.000733080115357022
21,1,1000,1,0.000710270888567,0.0007368202267095668
22,1,1000,1,0.000698152498171,0.0007190270528550836
23,1,1000,1,0.000686785038494,0.0006913505353520167
24,1,1000,1,0.000668097169471,0.0007290596611969609
0,1,1000,2,0.0142086916695,0.007914692681219531
1,1,1000,2,0.0136541174234,0.007417549044557522
2,1,1000,2,0.013982394937,0.007630274931184628
3,1,1000,2,0.0138572979298,0.007959979459213787
4,1,1000,2,0.0139363856511,0.007679018031799106
5,1,1000,2,0.0141686149554,0.007871118231729238
6,1,1000,2,0.0144182705323,0.007823306891446117
7,1,1000,2,0.0142238960046,0.0077501766376707045
8,1,1000,2,0.013885990821,0.007764362696870017
9,1,1000,2,0.0143289756386,0.007952110295857339
10,1,1000,2,0.0137051826465,0.007617301043711331
11,1,1000,2,0.0143199545994,0.007661780448640893
12,1,1000,2,0.0136549916206,0.0077643482759244
13,1,1000,2,0.0143998190023,0.008102022461519103
14,1,1000,2,0.0136791553326,0.007610612058151047
15,1,1000,2,0.014146067825,0.007448762988670188
16,1,1000,2,0.0141884586607,0.008093549219197164
17,1,1000,2,0.0146066855123,0.007447980377676929
18,1,1000,2,0.0143350015841,0.007864193939773998
19,1,1000,2,0.0142508193653,0.007633600979875439
20,1,1000,2,0.0139793500576,0.0075539322944407185
21,1,1000,2,0.0143512072933,0.007715481645764482
22,1,1000,2,0.0139411341789,0.0074049113528104156
23,1,1000,2,0.0142195332644,0.00730676003363009
24,1,1000,2,0.0137517412343,0.0076220406803333435
0,1,1000,3,0.0411809004758,0.016077855486650746
1,1,1000,3,0.0388572658239,0.015984114687687838
2,1,1000,3,0.039749351643,0.015848331483701208
3,1,1000,3,0.0418606423175,0.015864883687180132
4,1,1000,3,0.03945971744,0.015956941974307286
5,1,1000,3,0.0414244933971,0.015531739407563068
6,1,1000,3,0.0399292389724,0.015905715364002423
7,1,1000,3,0.0401848364467,0.015782702229343703
8,1,1000,3,0.0398456551513,0.014696932043698981
9,1,1000,3,0.0408364109052,0.015586062133805886
10,1,1000,3,0.0411107538609,0.015956452635978276
11,1,1000,3,0.0405873782183,0.01568744421565847
12,1,1000,3,0.0404413606597,0.01573424938685838
13,1,1000,3,0.0402651092203,0.01591706391383898
14,1,1000,3,0.0412456368245,0.014945650650560489
15,1,1000,3,0.039565313626,0.015069916602772716
16,1,1000,3,0.0410321266301,0.015316450140155612
17,1,1000,3,0.0394777205946,0.015449094769697658
18,1,1000,3,0.0404830768674,0.015732255850029873
19,1,1000,3,0.0400088823901,0.016036308930685653
20,1,1000,3,0.0399233928688,0.015590008275571943
21,1,1000,3,0.0405427988503,0.01598406770158784
22,1,1000,3,0.0408129055343,0.01564182657449753
23,1,1000,3,0.0411559778516,0.015501827376916015
